7200,0,2d0,0,D,UNK-NOW,Unknown,Unknown,Unknown,2
12301,1,4ce,1,A,CAB-ANALOG-1,Cabarrus Analog 1,Cabarrus Analog,Cabarrus Analog,2
12302,2,4ce,2,A,CAB-ANALOG-2,Cabarrus Analog 2,Cabarrus Analog,Cabarrus Analog,2
12303,3,4ce,3,A,CAB-ANALOG-3,Cabarrus Analog 3,Cabarrus Analog,Cabarrus Analog,2
12304,4,4ce,4,A,CAB-ANALOG-4,Cabarrus Analog 4,Cabarrus Analog,Cabarrus Analog,2
12305,5,4ce,5,A,CAB-ANALOG-5,Cabarrus Analog 5,Cabarrus Analog,Cabarrus Analog,2
12306,6,4ce,6,A,CAB-ANALOG-6,Cabarrus Analog 6,Cabarrus Analog,Cabarrus Analog,2
72041,41,2d0,29,D,EVT1 EOC,Mecklenburg Event 1 - EOC,Emergency Ops,Mecklenburg Common/Mutual Aid,2
72043,43,2d0,02b,D,EVT2 FIRE,Mecklenburg Event 2 - Fire,Fire-Talk,Mecklenburg Common/Mutual Aid,2
72045,45,2d0,02d,D,EVT3 EMS,Mecklenburg Event 3 - EMS,EMS-Talk,Mecklenburg Common/Mutual Aid,2
72047,47,2d0,02f,D,EVT4 POL,Mecklenburg Event 4 - Police,Law Talk,Mecklenburg Common/Mutual Aid,2
72049,49,2d0,31,D,EVT5 PW1,Mecklenburg Event 5 - Public Works 1,Public Works,Mecklenburg Common/Mutual Aid,2
72051,51,2d0,33,D,EVT6 PW2,Mecklenburg Event 6 - Public Works 2,Public Works,Mecklenburg Common/Mutual Aid,2
72053,53,2d0,35,D,EVT7 CFD,Mecklenburg Event 7 - Charlotte Fire,Fire-Talk,Mecklenburg Common/Mutual Aid,2
72055,55,2d0,37,D,EVT8 VFD,Mecklenburg Event 8 - Volunteer Fire,Fire-Talk,Mecklenburg Common/Mutual Aid,2
72057,57,2d0,39,D,EVT9 NM,Mecklenburg Event 9 - North Mecklenburg 1,Multi-Talk,Mecklenburg Common/Mutual Aid,2
72059,59,2d0,03b,D,EVT10 NM,Mecklenburg Event 10 - North Mecklenburg 2,Multi-Talk,Mecklenburg Common/Mutual Aid,2
72061,61,2d0,03d,D,EVT11 STW,Mecklenburg Event 11 - South Towns 1,Multi-Talk,Mecklenburg Common/Mutual Aid,2
72063,63,2d0,03f,D,MPD-DISP,Matthews PD Dispatch,Law Dispatch,Matthews Police,2
72065,65,2d0,41,D,MPD-PAT1,Matthews PD Patrol 1,Law Talk,Matthews Police,2
72067,67,2d0,43,D,MPD-PAT2,Matthews PD Patrol 2,Law Talk,Matthews Police,2
72073,73,2d0,49,D,MPD-TAC1,Matthews PD Tactical 1,Law Tac,Matthews Police,2
72075,75,2d0,04b,D,MPD-TAC2,Matthews PD Tactical 2,Law Tac,Matthews Police,2
720123,123,2d0,07b,D,NCSHP-2,NCSHP,Law Dispatch,State Highway Patrol,2
720129,129,2d0,81,D,POL MA,Mecklenburg Police Mutual Aid,Law Talk,Mecklenburg Common/Mutual Aid,2
720131,131,2d0,83,D,FIRE MA,Mecklenburg Fire Mutual Aid,Fire-Talk,Mecklenburg Common/Mutual Aid,2
720133,133,2d0,85,D,EMS MA,Mecklenburg EMS Mutual Aid,EMS-Talk,Mecklenburg Common/Mutual Aid,2
720147,147,2d0,93,D,NCSHP-1,NCSHP H5,Law Dispatch,State Highway Patrol,2
720153,153,2d0,99,D,EVT12 STW,Mecklenburg Event 12 - South Towns 2,Multi-Talk,Mecklenburg Common/Mutual Aid,2
720155,155,2d0,09b,D,EVT13 MSO,Mecklenburg Event 13 - Mecklenburg Sheriff 1,Law Talk,Mecklenburg Common/Mutual Aid,2
720157,157,2d0,09d,D,EVT14 MSO,Mecklenburg Event 14 - Mecklenburg Sheriff 2,Law Talk,Mecklenburg Common/Mutual Aid,2
720159,159,2d0,09f,D,EVT15 CFD,Mecklenburg Event 15 - Charlotte Fire,Fire-Talk,Mecklenburg Common/Mutual Aid,2
720161,161,2d0,0a1,D,EVT16 CFD,Mecklenburg Event 16 - Charlotte Fire,Fire-Talk,Mecklenburg Common/Mutual Aid,2
720185,185,2d0,0b9,D,MEC EMG 3,Mecklenburg Emergency 3,Emergency Ops,Mecklenburg EMS/Fire,2
720187,187,2d0,0bb,D,BRIDGE 4,Bridge 4 (Inter-Dispatch Systemwide),Multi-Tac,Systemwide,2
720189,189,2d0,0bd,D,MCJC-MC,Mecklenburg Sheriff Jail Central Main Channel,Corrections,Mecklenburg Sheriff Corrections,2
720207,207,2d0,0cf,D,BUS-OPS-1,Bus Ops 1,Transportation,Charlotte Area Transit System (CATS),2
720209,209,2d0,0d1,D,BUS-OPS-2,Bus Ops 2,Transportation,Charlotte Area Transit System (CATS),2
720211,211,2d0,0d3,D,BUS-OPS-3,Bus Ops 3,Transportation,Charlotte Area Transit System (CATS),2
